Run,Event,PID1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,PID2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,PID3,E3,px3,py3,pz3,pt3,eta3,phi3,Q3,PID4,E4,px4,py4,pz4,pt4,eta4,phi4,Q4,mZ1,mZ2,M
195655,167570931,-13,182.205,55.7529,-8.09385,-173.276,56.3373,-1.84211,-0.144166,1,-13,74.9594,35.7964,40.7923,-51.706,54.2715,-0.84755,0.850536,1,13,270.359,43.9957,23.8808,-265.684,50.0591,-2.37101,0.497297,-1,13,44.73,5.74512,-7.8588,-43.6577,9.73484,-2.20602,-0.939538,-1,89.2128,20.0635,140.124
200525,1066576272,13,95.3359,-55.1312,48.5357,60.7763,73.4518,0.753946,2.41973,-1,13,186.404,31.3488,-47.2941,177.559,56.7405,1.85856,-0.985441,-1,-13,27.5609,14.1532,-23.1086,5.02712,27.0984,0.184466,-1.02126,1,-13,12.3033,4.11752,11.5885,0.334976,12.2983,0.0272343,1.2294,1,91.9119,72.8411,209.536
198272,141178966,13,138.374,20.3289,-99.7941,-93.6768,101.844,-0.823519,-1.36984,-1,-13,302.849,-15.9294,58.9657,-296.625,61.0795,-2.28388,1.83465,1,13,82.6229,35.8169,-6.79573,-74.1452,36.4559,-1.45866,-0.187506,-1,-13,20.8922,8.99519,-0.0992819,18.856,8.99573,1.48581,-0.0110368,1,89.4447,94.4939,305.759
202016,160415664,-13,50.0649,-32.7091,17.9622,-33.376,37.3166,-0.804699,2.6394,1,13,48.1917,10.8323,-17.8317,-43.441,20.864,-1.47976,-1.0249,-1,13,13.3891,12.5195,0.809602,4.67589,12.5456,0.364581,0.0645775,-1,-13,7.55859,-3.57066,-6.57153,-1.08933,7.47894,-0.145142,-2.06852,1,57.2267,17.6822,92.9952
196218,198713417,-13,75.9928,-16.5359,-38.2729,63.5347,41.6923,1.20794,-1.97863,1,13,45.5157,20.4852,9.42426,39.5375,22.5491,1.32758,0.431182,-1,-13,53.918,8.58815,18.9635,49.737,20.8175,1.60527,1.14555,1,13,12.3858,8.19783,1.13701,9.2141,8.2763,0.959272,0.137817,-1,57.3815,15.335,92.2794
196218,858760563,-13,26.9213,20.4873,10.0439,-14.2876,22.8169,-0.591147,0.455816,1,13,29.5655,-20.6832,-8.29664,-19.4287,22.2852,-0.787774,-2.76011,-1,-13,87.381,-14.4664,6.78478,-85.9076,15.9784,-2.38372,2.70305,1,13,13.0348,3.97557,9.84603,-7.55948,10.6184,-0.662409,1.18704,-1,45.2866,30.9935,89.3916
198969,1103535297,-13,440.191,-62.0719,65.8846,430.783,90.5191,2.26405,2.32641,1,13,66.624,61.1961,-22.2406,-14.1117,65.1123,-0.215066,-0.34859,-1,-13,60.2214,-23.913,-36.5707,-41.441,43.6949,-0.844425,-2.1499,1,13,74.704,24.7291,-2.2214,70.4571,24.8287,1.76584,-0.089589,-1,91.7998,90.3042,461.703
200525,547514345,-13,44.2054,41.9893,-2.69288,13.5557,42.0755,0.316848,-0.064045,1,-13,146.913,25.1993,31.3955,141.29,40.2577,1.96836,0.894447,1,13,52.3327,-29.4656,-23.817,36.1003,37.8876,0.84762,-2.46181,-1,13,89.5771,-31.573,-17.0103,82.0844,35.8637,1.5658,-2.64742,-1,90.8516,90.311,190.204
198969,809605982,-13,70.8361,-61.8451,15.2608,-30.9844,63.7002,-0.469024,2.89967,1,13,85.0042,35.1606,-39.0369,-66.8247,52.5371,-1.06123,-0.837594,-1,-13,99.4519,-6.27922,37.791,-91.7773,38.3091,-1.60778,1.73545,1,13,56.694,24.792,-12.661,-49.3888,27.8378,-1.33782,-0.472161,-1,91.7844,89.6311,200.394
194897,146471772,-13,54.6098,9.23476,-53.8136,-1.01801,54.6002,-0.0186436,-1.40085,1,-13,57.7729,-22.6462,44.9165,-28.4139,50.3025,-0.53846,2.03778,1,13,41.7217,-6.93615,24.7655,-32.8519,25.7185,-1.06458,1.84387,-1,13,120.885,24.5241,5.44477,-118.246,25.1212,-2.2533,0.218474,-1,88.7116,85.3435,206.292
